symbol,value
š,0
œ,1
–,2
‚,3
™,4
˜,5
”,6
ž,7
‰,8
Š,9
†,10
„,11
•,12
–,13
…,14
—,15
š,16
€,17
‰,18
Œ,19
˜,20
Ÿ,21
ƒ,22
†,23
–,24
–,25
€,26
‰,27
“,28
„,29
‰,30
‡,31
•,32
›,33
‰,34
ž,35
™,36
–,37
•,38
‰,39
Ž,40
Š,41
™,42
Ÿ,43
Ÿ,44
š,45
Ÿ,46
ž,47
š,48
‰,49
“,50
‡,51
•,52
ƒ,53
›,54
ž,55
‡,56
“,57
’,58
…,59
ƒ,60
†,61
…,62
”,63
…,64
™,65
†,66
€,67
š,68
™,69
Š,70
ˆ,71
—,72
˜,73
ž,74
Ÿ,75
Œ,76
š,77
–,78
Ÿ,79
•,80
‚,81
€,82
…,83
—,84
ˆ,85
„,86
”,87
‰,88
…,89
˜,90
Š,91
›,92
™,93
€,94
‚,95
—,96
€,97
‚,98
ž,99
‚,100
›,101
Œ,102
˜,103
‰,104
›,105
„,106
ƒ,107
ƒ,108
Š,109
…,110
”,111
ž,112
’,113
œ,114
–,115
Ž,116
Ž,117
€,118
–,119
Ÿ,120
‘,121
œ,122
Š,123
—,124
š,125
ž,126
Ÿ,127
’,128
—,129
”,130
‚,131
Ÿ,132
€,133
“,134
‡,135
˜,136
•,137
–,138
Ÿ,139
™,140
‡,141
Ž,142
Š,143
™,144
’,145
•,146
‡,147
‹,148
…,149
†,150
…,151
œ,152
ƒ,153
œ,154
’,155
š,156
–,157
š,158
’,159
‚,160
˜,161
‘,162
ˆ,163
•,164
™,165
™,166
Œ,167
š,168
œ,169
‡,170
‚,171
€,172
—,173
’,174
‰,175
˜,176
ž,177
š,178
”,179
™,180
’,181
…,182
”,183
“,184
„,185
™,186
™,187
–,188
Š,189
…,190
˜,191
™,192
š,193
Ÿ,194
‚,195
Š,196
ž,197
†,198
€,199
—,200
‡,201
‚,202
—,203
–,204
”,205
†,206
Œ,207
Ž,208
”,209
—,210
…,211
“,212
‰,213
™,214
ˆ,215
“,216
›,217
‹,218
Ÿ,219
„,220
‡,221
Š,222
’,223
„,224
›,225
Ž,226
ž,227
Š,228
„,229
—,230
›,231
‰,232
š,233
…,234
Ÿ,235
Ÿ,236
•,237
ˆ,238
€,239
„,240
†,241
‹,242
™,243
”,244
Ž,245
€,246
—,247
Š,248
“,249
˜,250
ˆ,251
š,252
˜,253
„,254
„,255
›,256
‘,257
–,258
„,259
€,260
š,261
‹,262
œ,263
–,264
Ž,265
–,266
™,267
Œ,268
“,269
—,270
Ž,271
—,272
‹,273
ˆ,274
Ÿ,275
›,276
†,277
ˆ,278
˜,279
‘,280
Ž,281
›,282
‡,283
—,284
œ,285
‡,286
‘,287
†,288
Š,289
Ž,290
—,291
›,292
”,293
Ÿ,294
ˆ,295
–,296
›,297
ˆ,298
Ÿ,299
‹,300
’,301
Š,302
Œ,303
‘,304
“,305
‚,306
•,307
†,308
“,309
”,310
„,311
˜,312
—,313
”,314
”,315
ž,316
‚,317
“,318
“,319
˜,320
‡,321
•,322
˜,323
…,324
’,325
Ÿ,326
…,327
˜,328
Œ,329
€,330
€,331
•,332
ˆ,333
†,334
†,335
ƒ,336
€,337
•,338
Ž,339
•,340
‰,341
Œ,342
Ÿ,343
ž,344
‘,345
‘,346
—,347
€,348
„,349
™,350
ˆ,351
€,352
Š,353
•,354
€,355
…,356
”,357
—,358
Ž,359
—,360
„,361
Ž,362
™,363
™,364
‘,365
’,366
‡,367
‘,368
„,369
ˆ,370
“,371
‚,372
ˆ,373
‡,374
”,375
”,376
š,377
…,378
‘,379
Ÿ,380
ˆ,381
š,382
›,383
…,384
ž,385
Š,386
•,387
…,388
—,389
„,390
”,391
ž,392
˜,393
…,394
Š,395
Ž,396
“,397
Ÿ,398
€,399
—,400
ž,401
“,402
ˆ,403
‚,404
Š,405
Œ,406
‹,407
‚,408
†,409
‘,410
Š,411
Ÿ,412
Œ,413
Ž,414
™,415
Ž,416
Ž,417
˜,418
Ž,419
”,420
Š,421
™,422
Ÿ,423
„,424
Š,425
…,426
–,427
Œ,428
”,429
•,430
†,431
—,432
š,433
œ,434
ˆ,435
…,436
‘,437
”,438
š,439
™,440
™,441
Œ,442
‰,443
Ž,444
‰,445
›,446
‹,447
š,448
™,449
Ÿ,450
š,451
Ÿ,452
–,453
”,454
ž,455
€,456
†,457
‰,458
ˆ,459
Š,460
‚,461
ž,462
‘,463
Ÿ,464
˜,465
Š,466
Š,467
ˆ,468
‘,469
‘,470
„,471
“,472
‡,473
’,474
Ÿ,475
‘,476
ƒ,477
œ,478
‚,479
ˆ,480
—,481
‰,482
‡,483
„,484
„,485
†,486
‚,487
œ,488
’,489
–,490
‚,491
ž,492
–,493
…,494
‰,495
•,496
—,497
Ÿ,498
ž,499
